1,1,2,1300
2,2,3,700
3,3,4,1000
4,4,5,600
5,5,6,1100
6,6,7,1100
7,7,8,500
8,8,9,800
9,9,10,1600
10,10,11,700
11,11,12,1100
12,12,13,1800
13,13,14,1200
14,14,15,900
15,15,16,1400
16,16,17,1300
17,17,18,700
18,18,19,1500
19,19,20,1200
20,20,21,1600
21,21,22,1500
22,22,23,1200
23,23,24,900
24,24,25,2000
25,25,26,2200
26,26,27,1500
27,27,28,1200
28,28,29,1100
29,29,1,800
